policy_id,policy_desc_recommendations,support_content_recommendations
R2024071524963,로컬소상공인 브랜딩 액션러닝 참여 점포 모집,로컬소상공인 브랜딩 액션러닝 참여 점포 모집
R2024040821563,"서울 청년정책박람회 '청년, 바라봄'",서울시 청년수당
R2024041621830,서울시 캠퍼스타운,청년 쿡 비즈니스센터 운영
R2024051022692,청년 쿡 비즈니스센터 운영,서울 청년 영상취재단 모집
R2024042222097,넥스트로컬 6기(지역연계형 청년창업 지원사업),미래 청년 일자리 사업 참여자 2차 모집 공고
