policy_id,policy_desc_recommendations,support_content_recommendations
R2024020619530,온라인 AI모의면접 확대·운영,2024 자립준비청년 지원사업 GT컴퍼니 5기
R2024073025503,2024 자립준비청년 지원사업 GT컴퍼니 5기,2024년 광주광역시 청년창업 특례보증
R2024070424686,2024년 광주광역시 청년창업 특례보증,청년 (예비)창업가 거주시설 지원
R2024070424688,청년 (예비)창업가 거주시설 지원,토닥토닥 청년일자리(JOB)카페 운영
R2024070424684,광주 청년 면접 정장 대여 서비스,융합기술 청년-기업 매칭 디지털비즈니스고도화프로젝트
