policy_id,policy_desc_recommendations,support_content_recommendations
R2024062624386,경남 청년성장프로젝트 신입사원 직장적응 교육,제5회 디지털 신기술 아이디어 경진대회(경남)
R2024042222094,경남형 스타트업 액셀러레이팅(초격차산업리그) 참여기업 모집,경남 청년성장프로젝트 신입사원 직장적응 교육
R2024071524969,경남글로벌게임센터 게임 스타트업 클래스 예비창업자 모집,경남 관광일자리 잡페어 참가기업 모집
R2024062624406,경남 게임 아이디어 랩 참가자 모집,경남글로벌게임센터 게임 스타트업 클래스 예비창업자 모집
R2024072325305,경남콘텐츠코리아랩 콘텐츠 창작 캠프 1차 참가자 모집,경남 게임 아이디어 랩 참가자 모집
