policy_id,policy_desc_recommendations,support_content_recommendations
R2024073125622,2024년 전세피해 주택임차인 이사비 지원사업 안내,2024년 전세피해 주택임차인 이사비 지원사업 안내
R2024030420263,청년월세 한시 특별지원 사업(2차),청년월세 한시 특별지원 사업(2차)
R2024041621859,전세보증금반환보증 보증료 지원사업 안내,전세보증금반환보증 보증료 지원사업 안내
