policy_id,policy_desc_recommendations,support_content_recommendations
R2024032521007,"공예·디자인 분야 교육생, 예비취·창업자 모집","공예·디자인 분야 교육생, 예비취·창업자 모집"
R2024050922623,광주형 청년 갭이어지원,광주형 청년 갭이어지원
R2024072625463,문화콘텐츠 전문인력 양성 및 취업지원,문화콘텐츠 전문인력 양성 및 취업지원
R2024052923504,명장 성공 스쿨 참여자 모집 공고(요식업 분야 청년창업가),명장 성공 스쿨 참여자 모집 공고(요식업 분야 청년창업가)
R2024050722504,빛고을장학재단 장학금 지원,빛고을장학재단 장학금 지원
