policy_id,policy_desc_recommendations,support_content_recommendations
R2024051322755,서울 희망대학 진로장학금,서울 희망대학 진로장학금
R2024051022684,청년인생설계학교3 기 참여자 모집,청년인생설계학교3 기 참여자 모집
R2024041621832,서울형 청년인턴 직무캠프,서울형 청년인턴 직무캠프
R2024051022707,서울희망공익인재장학금,서울희망공익인재장학금
R2024051022708,서울희망대학진로장학금,서울희망대학진로장학금
