policy_id,policy_desc_recommendations,support_content_recommendations
R2024041121654,울산 남구 저소득층 청년 취업면접 수당 지원,울산 청년멘토 취업토크 콘서트
R2024040221324,울산 청년구직지원금,울산 꿈틀 라운지(취업·창업 커뮤니티 공간) 운영
R2024051622888,울산 지역주도형 청년일자리사업 참여기업 및 청년 모집,울산 남구 일자리종합센터 입주기업 추가 모집
R2024051622925,울산 청년구직지원금(추가 모집),울산 남구 취업준비교실
R2024052123123,울산글로벌게임센터 입주기업 모집,울산대학교 대학일자리플러스센터(거점형)
