policy_id,policy_desc_recommendations,support_content_recommendations
R2024051622884,경상남도 대학 입학 장학생 선발(추가 모집),경상남도 대학 입학 장학생 선발(추가 모집)
R2024051622885,경남 평생학습온라인강좌 배움온,경남 평생학습온라인강좌 배움온
R2024060523743,경남 채용 연계형 부트캠프 NHN 아카데미,경남 채용 연계형 부트캠프 NHN 아카데미
R2024080525744,경남 Copilot을 활용한 메타버스 환경 내 NPC 구현,경남 Copilot을 활용한 메타버스 환경 내 NPC 구현
R2024031920803,울산경남 CODE HOWS(코드하우스) 코딩아카데미 2기 교육생 추가 모집,경남 청년일자리프렌즈 취창업교육프로그램
